,index,0_x,1,2,3,4,5,6,7,8,latitude,longitude,0_y,0,traveltime_totube,traveltime_totube_pub
40,8989,86397,Albanian Association,"""Albanian Association,  Summers Lane, London""",N12 0PD,526634,191269.0,51.606027,-0.172783,Barnet,51.606027000000005,-0.172783,287,1.1393744736529674,13.563981829201992,13.563981829201992
41,8990,86439,Arkley Golf Club,"""Arkley Golf Club, 49 Rowley Green Road, Barnet""",EN5 3HL,521961,195799.0,51.647769,-0.238636,Barnet,51.647769,-0.23863600000000001,121,3.0727962331468626,36.58090753746265,36.58090753746265
42,8991,86473,Bald Faced Stag,"""Bald Faced Stag, 69 High Road, London""",N2 8AB,527237,189406.0,51.589149,-0.164741,Barnet,51.589149,-0.164741,77,0.19536265113985693,2.3257458469030587,2.3257458469030587
43,8992,86484,Barnet Copthall Leisure Centre,"""Barnet Copthall Leisure Centre,  Champions Way, London""",NW4 1PX,522894,191081.0,51.605174,-0.226812,Barnet,51.605174,-0.22681199999999999,165,1.189271521538726,14.157994304032451,14.157994304032451
44,8993,86489,Barnet Pool Club,"""101 High Street, Barnet""",EN5 5UZ,524460,196752.0,51.655777,-0.202198,Barnet,51.655777,-0.202198,121,0.8174329094449557,9.731344160058995,9.731344160058995
45,8994,86493,Barnet Table Tennis Club,"""Barnet Table Tennis Centre,  Barnet Lane, Barnet""",EN5 2DN,525124,195663.0,51.645851,-0.192993,Barnet,51.645851,-0.192993,121,0.5030158176713417,5.988283543706449,5.988283543706449
46,8995,86547,Blarneys Free House,"""128 Burnt Oak Broadway, Edgware""",HA8 0BB,520074,190574.0,51.601217,-0.267686,Barnet,51.601217,-0.26768600000000004,38,0.3039429428664872,3.618368367458181,3.618368367458181
47,8996,86555,Bodens,"""99 East Barnet Road, Barnet""",EN4 8RF,526819,195976.0,51.648277,-0.168396,Barnet,51.648277,-0.168396,57,1.3519102600969408,16.09416976305882,16.09416976305882
48,8997,86585,Brondesbury Cricket Tennis Bowls & Squash Club,"""Brondesbury Cricket Tennis And Squash Club, 5 Harman Drive, London""",NW2 2EB,524400,185936.0,51.558588,-0.206898,Barnet,51.558588,-0.206898,142,1.2868191522890273,15.31927562248842,15.31927562248842
49,8998,86597,Builders Arms,"""Builders Arms, 3 Albert Road, Barnet""",EN4 9SH,526472,196257.0,51.650889,-0.173307,Barnet,51.650889,-0.173307,121,1.4502738343271775,17.26516469437116,17.26516469437116
50,8999,86650,Camden Playing Fields Sports And Social Club,"""Old Camdenians Football Club,  Burtonhole Lane, London""",NW7 1AS,523547,192816.0,51.620624,-0.216777,Barnet,51.620624,-0.216777,165,1.4525246354866914,17.291959946270136,17.291959946270136
51,9000,86670,Catcher In The Rye,"""317 Regents Park Road, London""",N3 1DP,525040,190525.0,51.599697,-0.196039,Barnet,51.599697,-0.19603900000000002,93,0.2577237021786085,3.0681393116501012,3.0681393116501012
52,9001,86673,Cavalier Public House,"""67 Russell Lane, London""",N20 0BB,527593,193929.0,51.629715,-0.15796,Barnet,51.629715000000004,-0.15796,260,1.4605989367696417,17.38808258059097,17.38808258059097
53,9002,86797,Cricklewood Trades Hall Club And Institute,"""134 Cricklewood Lane, London""",NW2 2DP,524240,186075.0,51.559882,-0.209156,Barnet,51.559882,-0.20915599999999998,142,1.4547574932300453,17.318541586071966,17.318541586071966
54,9003,86822,Darren O'Brien,"""243 Golders Green Road, London""",NW11 9PN,524263,188131.0,51.578345,-0.208098,Barnet,51.578345,-0.208098,34,0.42698779781601276,5.083188069238247,5.083188069238247
55,9004,86823,David Lloyd Club,"""David Lloyd Leisure Centre,  Leisure Way, London""",N12 0QZ,526518,191247.0,51.605864,-0.17445,Barnet,51.605864000000004,-0.17445,287,1.038706144497065,12.365549339250775,12.365549339250775
56,9005,86876,East Barnet Valley United Services Club,"""23 East Barnet Road, Barnet""",EN4 8RN,526630,196142.0,51.64982,-0.171066,Barnet,51.64982,-0.171066,57,1.4961169919003867,17.810916570242696,17.810916570242696
57,9006,86881,East Finchley Constitutional Club,"""East Finchley Constitutional Club,  The Walks, London""",N2 8DE,526933,189788.0,51.592651,-0.168988,Barnet,51.592651000000004,-0.168988,77,0.6458221562547183,7.68835900303236,7.68835900303236
58,9007,86907,Elephant Inn,"""Elephant Inn, 283 Ballards Lane, London""",N12 8NR,526128,191854.0,51.611398,-0.179861,Barnet,51.611398,-0.179861,287,0.61996959013871,7.380590358794167,7.380590358794167
59,9008,86962,Finchley Bowling Club,"""Finchley Bowling Club,  Etchingham Park Road, London""",N3 2DT,525935,191281.0,51.606292,-0.182852,Barnet,51.606291999999996,-0.182852,287,0.5186081467835263,6.1739065093276935,6.1739065093276935
60,9009,86969,Finchley Golf Club,"""Nether Court,  Frith Lane, London""",NW7 1PU,524591,191645.0,51.609861,-0.20212,Barnet,51.609860999999995,-0.20212,165,0.5944826321095303,7.077174191780123,7.077174191780123
61,9010,86971,Finchley Lawn Tennis Club,"""Finchley Lawn Tennis Club,  Brent Way, London""",N3 1AJ,525024,191567.0,51.609074,-0.195898,Barnet,51.609074,-0.195898,287,0.5269743356510109,6.273503995845368,6.273503995845368
62,9011,86972,Finchley Lido,"""Great North Leisure Park,  Chaplin Square, London""",N12 0GL,526582,191132.0,51.604808,-0.173568,Barnet,51.604808,-0.173568,287,1.143693090277832,13.61539393187895,13.61539393187895
63,9012,86973,"""Finchley Manor Lawn Tennis, Squash And Health Club""","""Finchley Manor Lawn Tennis And Squash Rackets Club,  Lyndhurst Gardens, London""",N3 1TD,524474,190734.0,51.6017,-0.204132,Barnet,51.6017,-0.20413199999999998,93,0.7573144132939843,9.015647777309336,9.015647777309336
64,9013,86978,Finchley United Services Club,"""307 Ballards Lane, London""",N12 8LY,526259,192023.0,51.612887,-0.177923,Barnet,51.612887,-0.177923,301,0.7694487015966415,9.160103590436208,9.160103590436208
65,9014,87020,Friary Park Bowling Club,"""Friary Park,  Friary Road, London""",N20 0NR,527353,192773.0,51.619381,-0.161845,Barnet,51.619381,-0.16184500000000002,301,1.6488127854787755,19.62872363665209,19.62872363665209
66,9015,87037,Funky Brownz,"""63 The Hyde, London""",NW9 6LE,521473,188686.0,51.583949,-0.248149,Barnet,51.583949,-0.24814899999999998,58,1.2926100491299255,15.38821487059435,15.38821487059435
67,9016,87048,Gate Lodge,"""622 Finchley Road, London""",NW11 7RR,525184,187350.0,51.571131,-0.195092,Barnet,51.571131,-0.19509200000000002,100,0.15692906416963043,1.8682031448765526,1.8682031448765526
68,9017,87059,Gertie Brownes,"""95 High Road, London""",N2 8AG,527219,189583.0,51.590744,-0.164936,Barnet,51.590744,-0.164936,77,0.37197885703534656,4.428319726611268,4.428319726611268
69,9018,87112,Hadley Hotel,"""Hadley Hotel, 113 Hadley Road, Barnet""",EN5 5QN,525754,196868.0,51.656541,-0.18346,Barnet,51.656541,-0.18345999999999998,121,1.020529857072083,12.149164965143846,12.149164965143846
70,9019,87120,Hampstead Golf Club,"""82 Winnington Road, London""",N2 0TU,526626,187491.0,51.572068,-0.174246,Barnet,51.572068,-0.174246,100,1.3730513345264457,16.345849220552925,16.345849220552925
